EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,AttritionFlag,AgeGroup,TenureBand,IncomeBand,SatisfactionIndex
10980,28,Male,Single,Sales,Sales Representative,3,2,Medical,3,Travel_Rarely,10274,11,1,No,5,0,0,0,0,7,0,3,2,4,3,2,4,Yes,1,26-35,0-1 yrs,8K-12K,3.25
11337,31,Female,Single,Research & Development,Laboratory Technician,2,2,Marketing,4,Travel_Rarely,7011,21,2,Yes,13,11,8,1,10,4,3,3,3,2,3,2,2,No,0,26-35,10+ yrs,5K-8K,2.25
10882,47,Female,Married,Research & Development,Manufacturing Director,2,3,Marketing,1,Travel_Rarely,8211,11,0,No,27,27,24,14,24,1,0,3,3,3,3,3,4,No,0,46-55,10+ yrs,8K-12K,3.25
10259,52,Male,Single,Sales,Manager,1,4,Medical,17,Travel_Frequently,5924,14,2,No,32,30,30,0,29,0,0,3,1,4,2,1,3,Yes,1,46-55,10+ yrs,5K-8K,2.5
10141,43,Female,Married,Research & Development,Research Scientist,2,2,Medical,8,Travel_Rarely,7572,16,1,No,22,11,11,5,11,9,2,4,2,2,4,3,1,Yes,1,36-45,10+ yrs,5K-8K,2.5
11272,43,Male,Married,Research & Development,Laboratory Technician,2,4,Other,22,Travel_Rarely,9568,13,1,No,25,23,23,7,20,6,4,3,3,1,2,2,2,Yes,1,36-45,10+ yrs,8K-12K,1.75
11221,26,Male,Divorced,Sales,Manager,1,4,Medical,8,Travel_Rarely,4888,12,0,Yes,8,5,2,1,2,8,0,3,3,4,1,3,3,Yes,1,26-35,4-6 yrs,3K-5K,2.75
11595,31,Male,Single,Research & Development,Research Scientist,4,2,Marketing,7,Travel_Frequently,12276,11,0,No,10,2,0,0,0,5,6,3,3,3,3,2,4,No,0,26-35,2-3 yrs,12K+,3.0
11282,37,Female,Single,Research & Development,Manager,3,4,Life Sciences,18,Non-Travel,9460,14,1,No,19,19,17,7,18,9,2,3,2,1,4,4,4,No,0,36-45,10+ yrs,8K-12K,3.25
10609,43,Male,Married,Research & Development,Manager,2,2,Life Sciences,10,Non-Travel,8552,23,0,No,23,14,13,13,13,4,0,3,4,3,3,2,4,No,0,36-45,10+ yrs,8K-12K,3.0
11380,32,Male,Married,Research & Development,Manager,5,5,Life Sciences,14,Non-Travel,13843,16,3,No,12,8,6,8,7,7,5,3,3,3,1,2,1,No,0,26-35,7-10 yrs,12K+,1.75
10956,28,Female,Married,Sales,Manager,2,4,Life Sciences,1,Travel_Rarely,8308,11,0,Yes,4,0,0,0,0,0,0,3,3,3,4,2,4,Yes,1,26-35,0-1 yrs,8K-12K,3.25
11639,32,Female,Divorced,Sales,Manager,1,2,Technical Degree,5,Non-Travel,4595,11,2,Yes,13,5,4,3,2,7,5,3,3,1,4,4,2,No,0,26-35,4-6 yrs,3K-5K,2.75
10952,25,Female,Married,Sales,Manager,2,3,Marketing,19,Travel_Rarely,7672,18,1,No,2,1,1,1,0,2,5,3,3,4,1,2,3,Yes,1,18-25,0-1 yrs,5K-8K,2.5
