EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,EmployeeCount,Over18,StandardHours
10980,28.0,Male,Single,Sales,Sales Representative,3,2,Medical,3,Travel_Rarely,10274.0,11,1,No,5,0,0,0.0,0,7,0,3,2,4.0,3.0,2,4,Yes,1,Y,80
11337,31.0,Female,Single,Research & Development,Laboratory Technician,2,2,Marketing,4,Travel_Rarely,7011.0,21,2,Yes,13,11,8,1.0,10,4,3,3,3,2.0,3.0,2,2,No,1,Y,80
10882,47.0,Female,Married,Research & Development,Manufacturing Director,2,3,Marketing,1,Travel_Rarely,8211.0,11,0,No,27,27,24,14.0,24,1,0,3,3,3.0,3.0,3,4,No,1,Y,80
10259,52.0,Male,Single,Sales,Manager,1,4,Medical,17,Travel_Frequently,5924.0,14,2,No,32,30,30,0.0,29,0,0,3,1,4.0,2.0,1,3,Yes,1,Y,80
10141,43.0,Female,Married,Research & Development,  Research Scientist  ,2,2,Medical,8,Travel_Rarely,7572.0,16,1,No,22,11,11,5.0,11,9,2,4,2,2.0,4.0,3,1,Yes,1,Y,80
11272,43.0,Male,Married,Research & Development,Laboratory Technician,2,4,Other,22,Travel_Rarely,9568.0,13,1,No,25,23,23,7.0,20,6,4,3,3,1.0,2.0,2,2,Yes,1,Y,80
11221,26.0,Male,Divorced,Sales,Manager,1,4,Medical,8,Travel_Rarely,4888.0,12,0,Yes,8,5,2,1.0,2,8,0,3,3,4.0,1.0,3,3,Yes,1,Y,80
11595,31.0,Male,Single,Research & Development,Research Scientist,4,2,Marketing,7,Travel_Frequently,12276.0,11,0,No,10,2,0,0.0,0,5,6,3,3,,3.0,2,4,No,1,Y,80
11282,37.0,Female,Single,Research & Development,Manager,3,4,Life Sciences,18,Non-Travel,9460.0,14,1,No,19,19,17,7.0,18,9,2,3,2,1.0,4.0,4,4,No,1,Y,80
10609,43.0,Male,Married,Research & Development,Manager,2,2,Life Sciences,10,Non-Travel,8552.0,23,0,No,23,14,13,13.0,13,4,0,3,4,3.0,3.0,2,4,No,1,Y,80
