Customer_ID,Customer_Revenue,Customer_Profit,Purchase_Count,First_Purchase,Last_Purchase,Region,Segment,Repeat_Customer,Customer_Lifespan_Days,Value_Segment,Days_Since_Last_Purchase,Inactive_180d
CUST-00001,44826.57,12668.08,23,2023-08-06,2025-09-05,East,Consumer,True,761,Mid,113,False
CUST-00002,55914.84,16570.73,12,2023-07-07,2025-11-16,South,Home Office,True,863,Mid,41,False
CUST-00003,115865.79000000001,18425.52,45,2023-07-03,2025-10-06,Central,Corporate,True,826,High,82,False
CUST-00004,49967.05,11874.789999999999,13,2024-08-23,2025-10-31,West,Consumer,True,434,Mid,57,False
CUST-00005,8766.960000000001,2918.96,4,2023-12-27,2024-11-15,West,Home Office,True,324,Low,407,True
CUST-00006,67676.74,16433.309999999998,21,2023-11-30,2025-11-04,South,Home Office,True,705,High,53,False
CUST-00007,29476.89,4659.110000000001,8,2024-02-25,2025-08-06,East,Consumer,True,528,Low,143,False
CUST-00008,22940.56,6686.209999999999,3,2025-01-30,2025-10-23,Central,Corporate,True,266,Low,65,False
CUST-00009,9701.210000000001,1741.73,4,2023-11-08,2025-08-19,East,Consumer,True,650,Low,130,False
CUST-00010,41747.49,12016.76,12,2024-04-28,2025-08-07,East,Home Office,True,466,Mid,142,False
CUST-00011,10608.17,1372.04,4,2024-11-22,2025-08-06,Central,Corporate,True,257,Low,143,False
CUST-00012,16059.23,4973.02,5,2024-02-25,2025-02-06,South,Corporate,True,347,Low,324,True
CUST-00013,13221.640000000001,5355.77,4,2024-04-07,2025-11-07,Central,Consumer,True,579,Low,50,False
CUST-00014,30559.49,8439.14,7,2024-11-28,2025-11-27,South,Home Office,True,364,Mid,30,False
CUST-00015,81029.2,19266.309999999998,9,2024-05-31,2025-03-10,Central,Consumer,True,283,High,292,True
CUST-00016,16251.58,6089.41,7,2024-05-27,2025-01-24,South,Consumer,True,242,Low,337,True
CUST-00017,10390.08,2539.45,3,2024-06-14,2025-09-06,Central,Consumer,True,449,Low,112,False
CUST-00018,25805.85,5057.48,6,2023-11-11,2025-07-04,East,Corporate,True,601,Low,176,False
CUST-00019,49934.14,13459.01,13,2023-11-29,2025-11-28,South,Consumer,True,730,Mid,29,False
CUST-00020,28960.41,7619.6,6,2023-05-04,2025-10-18,West,Home Office,True,898,Low,70,False
CUST-00021,55374.78,14027.630000000001,16,2023-10-15,2025-12-07,Central,Corporate,True,784,Mid,20,False
CUST-00022,8651.220000000001,1337.63,6,2023-10-30,2025-08-05,West,Consumer,True,645,Low,144,False
CUST-00023,13364.48,3595.7799999999997,2,2024-04-13,2024-04-15,East,Consumer,True,2,Low,621,True
CUST-00024,6825.780000000001,1343.88,6,2023-07-26,2025-09-29,South,Consumer,True,796,Low,89,False
CUST-00025,23631.98,3157.41,12,2023-04-29,2025-07-08,South,Corporate,True,801,Low,172,False
CUST-00026,30076.07,6001.03,12,2023-06-07,2025-08-24,Central,Corporate,True,809,Mid,125,False
CUST-00027,93635.23,25972.19,20,2023-09-26,2025-08-01,West,Consumer,True,675,High,148,False
CUST-00028,17076.95,4326.49,7,2024-05-03,2025-06-08,South,Corporate,True,401,Low,202,True
CUST-00029,21545.65,3647.13,9,2023-05-16,2025-07-17,Central,Consumer,True,793,Low,163,False
CUST-00030,30059.19,7577.66,8,2023-03-06,2025-10-09,West,Corporate,True,948,Mid,79,False
CUST-00031,34195.5,9160.93,5,2023-03-18,2025-08-26,West,Home Office,True,892,Mid,123,False
CUST-00032,27394.12,4632.885,5,2024-02-07,2025-07-29,East,Corporate,True,538,Low,151,False
CUST-00033,17738.56,3006.73,7,2023-12-27,2025-10-03,East,Corporate,True,646,Low,85,False
CUST-00034,3869.1,588.37,5,2024-03-23,2025-11-24,Central,Corporate,True,611,Low,33,False
CUST-00035,5918.92,945.31,3,2025-02-03,2025-12-02,South,Consumer,True,302,Low,25,False
CUST-00036,84588.27,20456.63,21,2023-06-30,2025-11-12,East,Consumer,True,866,High,45,False
CUST-00037,53179.39,13661.0,38,2023-05-26,2025-09-11,South,Consumer,True,839,Mid,107,False
CUST-00038,33343.96000000001,7342.38,8,2024-09-10,2025-08-21,South,Consumer,True,345,Mid,128,False
CUST-00039,18425.07,4184.13,8,2023-09-13,2025-09-22,West,Corporate,True,740,Low,96,False
CUST-00040,46093.59,11687.86,13,2023-12-22,2025-11-03,Central,Corporate,True,682,Mid,54,False
CUST-00041,11799.79,2973.2799999999997,4,2024-07-24,2025-11-08,East,Home Office,True,472,Low,49,False
CUST-00042,50384.87,10329.32,15,2023-07-14,2025-08-21,South,Consumer,True,769,Mid,128,False
CUST-00043,54979.47,12189.64,14,2023-04-10,2025-11-01,Central,Corporate,True,936,Mid,56,False
