Order ID,Customer_ID,Order_Date,Region,Segment,Order_Total,Order_Profit,Line_Items
ORD-2023001,CUST-00744,2024-04-21,West,Corporate,1284.4,339.96,1
ORD-2023002,CUST-00621,2024-01-21,West,Home Office,4244.46,1467.38,2
ORD-2023003,CUST-00371,2024-01-30,West,Consumer,1780.01,496.26,2
ORD-2023004,CUST-00611,2024-07-27,South,Corporate,1117.62,223.32,2
ORD-2023005,CUST-00786,2024-07-18,Central,Corporate,8301.83,1234.71,1
ORD-2023006,CUST-00386,2025-07-13,East,Consumer,574.38,223.22,1
ORD-2023007,CUST-00527,2025-03-15,South,Consumer,3643.86,1121.96,1
ORD-2023008,CUST-00739,2024-06-14,Central,Consumer,948.69,227.93,1
ORD-2023009,CUST-00203,2024-12-24,West,Home Office,3225.43,537.6,1
ORD-2023010,CUST-00711,2024-07-07,Central,Consumer,1065.87,283.39,1
ORD-2023011,CUST-00077,2024-12-06,West,Consumer,5922.24,2554.96,1
ORD-2023012,CUST-00530,2025-07-16,South,Corporate,4445.0,926.08,1
ORD-2023013,CUST-00634,2025-05-24,West,Home Office,1044.88,273.44,1
ORD-2023014,CUST-00504,2024-10-19,South,Consumer,1756.08,315.22,1
ORD-2023015,CUST-00412,2025-06-14,East,Consumer,1783.98,397.29,1
ORD-2023016,CUST-00507,2024-05-30,Central,Consumer,123.18,47.89,1
ORD-2023017,CUST-00130,2025-02-25,Central,Consumer,697.26,262.61,1
ORD-2023018,CUST-00180,2024-08-21,Central,Consumer,501.2,-26.11,1
ORD-2023019,CUST-00219,2025-10-25,West,Consumer,2696.33,357.63,1
ORD-2023020,CUST-00494,2023-09-30,Central,Consumer,6606.530000000001,2381.04,2
ORD-2023021,CUST-00365,2025-10-08,East,Home Office,7576.2,1987.91,1
ORD-2023022,CUST-00202,2025-01-20,South,Corporate,72.8,7.12,1
ORD-2023023,CUST-00707,2024-10-22,East,Consumer,3079.59,1264.93,1
ORD-2023024,CUST-00307,2024-12-09,West,Corporate,232.42,50.08,1
ORD-2023025,CUST-00369,2024-02-18,East,Consumer,3485.54,1495.85,2
ORD-2023026,CUST-00337,2025-07-11,South,Consumer,19411.4,5266.37,2
ORD-2023027,CUST-00149,2023-12-22,South,Corporate,5645.13,845.02,2
ORD-2023028,CUST-00599,2025-05-24,Central,Home Office,2961.12,1111.92,1
ORD-2023029,CUST-00373,2024-10-12,West,Corporate,1467.6299999999999,748.4399999999999,2
ORD-2023030,CUST-00014,2025-11-24,South,Home Office,6304.14,1729.56,2
ORD-2023031,CUST-00773,2025-02-18,East,Consumer,4010.72,1016.14,1
ORD-2023032,CUST-00656,2024-08-24,Central,Corporate,7708.98,2522.56,1
ORD-2023033,CUST-00593,2025-07-01,East,Corporate,106.74,11.88,1
ORD-2023034,CUST-00697,2024-08-21,Central,Consumer,1097.12,-37.82,1
ORD-2023035,CUST-00726,2025-03-28,East,Corporate,5746.84,2276.3,1
ORD-2023036,CUST-00275,2024-04-04,West,Corporate,6932.5,2187.1000000000004,2
ORD-2023037,CUST-00503,2023-04-26,South,Consumer,40.28,9.71,1
ORD-2023038,CUST-00502,2024-08-29,Central,Consumer,160.96,41.87,1
ORD-2023039,CUST-00218,2025-06-11,East,Consumer,2067.77,150.74,1
ORD-2023040,CUST-00182,2024-07-16,East,Consumer,3075.65,486.17,1
ORD-2023041,CUST-00092,2025-10-15,South,Corporate,4596.19,1337.8200000000002,3
ORD-2023042,CUST-00536,2025-09-21,East,Consumer,10510.16,4040.72,1
ORD-2023043,CUST-00633,2024-07-03,West,Consumer,10484.04,4647.62,1
ORD-2023044,CUST-00620,2025-03-30,East,Consumer,6085.02,2174.55,2
ORD-2023045,CUST-00261,2025-04-25,South,Consumer,758.8,305.69,1
ORD-2023046,CUST-00171,2025-06-12,East,Consumer,1796.02,578.26,2
ORD-2023047,CUST-00378,2023-06-05,Central,Consumer,14129.839999999998,3859.41,3
ORD-2023048,CUST-00451,2024-05-29,South,Consumer,5139.32,1930.15,1
ORD-2023049,CUST-00740,2025-11-30,South,Corporate,3254.12,1017.25,2
ORD-2023050,CUST-00701,2025-04-10,Central,Consumer,391.08,152.8,1
ORD-2023051,CUST-00736,2025-05-16,Central,Consumer,2969.46,1119.11,1
ORD-2023052,CUST-00687,2025-01-02,West,Corporate,187.12,29.8,1
ORD-2023053,CUST-00773,2025-07-08,East,Consumer,267.44,57.88,1
ORD-2023054,CUST-00387,2025-07-11,East,Corporate,3911.6,1131.32,1
ORD-2023055,CUST-00044,2024-09-06,West,Consumer,135.15,19.85,1
ORD-2023056,CUST-00068,2024-12-14,West,Home Office,4441.68,1015.97,1
ORD-2023057,CUST-00320,2023-08-18,South,Home Office,381.35,52.21,1
ORD-2023058,CUST-00211,2024-02-12,West,Corporate,829.01,336.04,1
ORD-2023059,CUST-00142,2025-05-07,East,Corporate,2537.72,1069.43,1
ORD-2023060,CUST-00767,2024-07-13,Central,Corporate,161.38,34.76,1
ORD-2023061,CUST-00163,2024-09-04,West,Corporate,12845.74,1441.3799999999999,2
ORD-2023062,CUST-00770,2024-05-31,West,Consumer,877.78,265.61,2
ORD-2023063,CUST-00620,2023-11-29,East,Consumer,1952.89,10.87,1
ORD-2023064,CUST-00525,2024-06-17,West,Consumer,3818.76,1444.21,2
ORD-2023065,CUST-00553,2025-05-17,South,Consumer,3080.88,1328.49,1
ORD-2023066,CUST-00271,2025-07-23,West,Consumer,967.92,207.83,1
ORD-2023067,CUST-00529,2024-12-27,South,Corporate,241.73999999999998,44.75,2
ORD-2023068,CUST-00154,2024-04-21,West,Home Office,13643.470000000001,4190.54,2
ORD-2023069,CUST-00757,2025-11-27,Central,Consumer,7850.04,65.97,2
ORD-2023070,CUST-00251,2023-11-15,East,Consumer,2055.73,533.58,1
ORD-2023071,CUST-00211,2024-10-05,West,Corporate,191.96,61.13,1
ORD-2023072,CUST-00580,2024-06-04,East,Consumer,342.17,-54.14,1
ORD-2023073,CUST-00535,2025-02-27,Central,Corporate,2910.0099999999998,777.88,2
ORD-2023074,CUST-00377,2024-12-07,Central,Corporate,2053.06,906.68,1
ORD-2023075,CUST-00516,2024-02-19,East,Home Office,133.72,32.56,1
ORD-2023076,CUST-00134,2024-03-16,Central,Corporate,10644.6,2010.03,1
ORD-2023077,CUST-00551,2024-12-30,South,Consumer,4864.19,1190.01,2
ORD-2023078,CUST-00219,2024-05-22,West,Consumer,25.36,3.54,1
ORD-2023079,CUST-00221,2024-11-15,East,Corporate,770.85,246.45,1
ORD-2023080,CUST-00137,2025-06-26,Central,Consumer,116.21,31.44,1
ORD-2023081,CUST-00272,2025-07-25,East,Corporate,1054.1,192.72,1
ORD-2023082,CUST-00271,2024-10-20,West,Consumer,3288.84,1171.52,1
ORD-2023083,CUST-00378,2025-04-01,Central,Consumer,21.2,5.68,1
ORD-2023084,CUST-00156,2024-09-05,Central,Consumer,2264.3599999999997,403.79999999999995,2
ORD-2023085,CUST-00159,2025-03-11,Central,Corporate,8147.54,2202.15,2
ORD-2023086,CUST-00446,2025-01-22,Central,Home Office,1779.3,121.01,1
ORD-2023087,CUST-00105,2024-12-26,South,Consumer,685.86,0.83,1
ORD-2023088,CUST-00564,2025-07-17,East,Consumer,11643.880000000001,509.06000000000006,2
ORD-2023089,CUST-00761,2024-09-07,East,Consumer,4026.2,552.82,1
ORD-2023090,CUST-00355,2025-05-30,South,Corporate,5555.969999999999,1955.6699999999998,2
ORD-2023091,CUST-00721,2024-11-10,East,Corporate,63.0,16.79,1
ORD-2023092,CUST-00077,2025-08-25,West,Consumer,322.24,118.25,1
ORD-2023093,CUST-00040,2025-06-10,Central,Corporate,2596.16,867.84,2
ORD-2023094,CUST-00592,2025-08-10,South,Corporate,7785.3,2590.68,1
ORD-2023095,CUST-00620,2024-12-21,East,Consumer,924.88,307.25,2
ORD-2023096,CUST-00681,2025-01-27,Central,Consumer,4009.49,806.57,3
ORD-2023097,CUST-00051,2025-07-20,South,Consumer,3521.37,912.86,2
ORD-2023098,CUST-00628,2024-04-26,West,Consumer,4672.81,1103.54,2
ORD-2023099,CUST-00310,2025-07-03,East,Consumer,174.5,45.5,1
ORD-2023100,CUST-00252,2025-08-24,West,Home Office,224.54,-23.65,1
ORD-2023101,CUST-00144,2025-07-13,West,Home Office,4452.2300000000005,1401.8300000000002,2
ORD-2023102,CUST-00797,2025-04-10,South,Consumer,861.57,-341.63,1
ORD-2023103,CUST-00054,2024-11-06,West,Consumer,29286.989999999998,6833.620000000001,3
ORD-2023104,CUST-00667,2024-05-08,Central,Consumer,5075.44,996.89,1
ORD-2023105,CUST-00525,2025-09-15,West,Consumer,1205.55,-400.85,1
ORD-2023106,CUST-00600,2024-12-27,Central,Consumer,3075.65,688.53,1
ORD-2023107,CUST-00580,2025-04-18,East,Consumer,847.44,291.04,1
ORD-2023108,CUST-00693,2024-12-14,South,Consumer,205.3,91.9,1
ORD-2023109,CUST-00151,2024-03-14,South,Consumer,14133.13,4745.63,1
ORD-2023110,CUST-00001,2025-09-05,East,Consumer,60.36,-37.29,1
